espn_rank,name,pos,pos_tag,team,auction_value,bye
124,Romeo Doubs,WR,WR52,NE,1,11
125,Jalen Coker,WR,WR53,CAR,1,5
126,Dalton Kincaid,TE,TE15,BUF,1,7
127,Tyjae Spears,RB,RB42,TEN,1,9
128,Cameron Dicker,K,K2,LAC,1,7
129,Tyler Shough,QB,QB17,NO,1,8
130,Jordan Mason,RB,RB43,MIN,1,6
131,Deebo Samuel Sr.,WR,WR54,SF,1,8
132,Jared Goff,QB,QB18,DET,1,6
133,Woody Marks,RB,RB44,HOU,1,8
134,Jason Myers,K,K3,SEA,1,11
135,KC Concepcion,WR,WR55,CLE,1,11
136,Jalen McMillan,WR,WR56,TB,1,10
137,Tank Dell,WR,WR57,HOU,1,8
138,Texans D/ST,DST,DST1,HOU,1,8
139,Zach Charbonnet,RB,RB45,SEA,1,11
140,Broncos D/ST,DST,DST2,DEN,1,10
141,Jonah Coleman,RB,RB46,DEN,0,10
142,Baker Mayfield,QB,QB19,TB,0,10
143,Ka'imi Fairbairn,K,K4,HOU,1,8
144,Isiah Pacheco,RB,RB47,DET,0,6
145,Chris Rodriguez Jr.,RB,RB48,JAC,0,7
146,Harrison Mevis,K,K5,LAR,1,11
147,Daniel Jones,QB,QB20,IND,0,13
148,Juwan Johnson,TE,TE16,NO,0,8
149,Alvin Kamara,RB,RB49,NO,0,8
150,Tyler Allgeier,RB,RB50,ARI,0,14
151,Mike Washington Jr.,RB,RB51,LV,0,13
152,Dylan Sampson,RB,RB52,CLE,0,11
153,Hunter Henry,TE,TE17,NE,0,11
154,T.J. Hockenson,TE,TE18,MIN,0,6
155,Keaton Mitchell,RB,RB53,LAC,0,7
156,Keenan Allen,WR,WR58,IND,0,13
157,Samaje Perine,RB,RB54,CIN,0,6
158,Eddy Pineiro,K,K6,SF,1,8
159,Jordan Love,QB,QB21,GB,0,11
160,Brian Robinson Jr.,RB,RB55,ATL,0,11
161,Terrance Ferguson,TE,TE19,LAR,0,11
162,Rashid Shaheed,WR,WR59,SEA,0,11
163,Denzel Boston,WR,WR60,CLE,0,11
164,Jerry Jeudy,WR,WR61,CLE,0,11
165,Calvin Ridley,WR,WR62,TEN,0,9
166,Adonai Mitchell,WR,WR63,NYJ,0,13
167,Travis Hunter,WR,WR64,JAC,0,7
168,Caleb Douglas,WR,WR65,MIA,0,6
169,Malik Willis,QB,QB22,MIA,0,6
170,Jordyn Tyson,WR,WR66,NO,0,8
171,Tre Tucker,WR,WR67,LV,0,13
172,Jalen Nailor,WR,WR68,LV,0,13
173,Braelon Allen,RB,RB56,NYJ,0,13
174,Tank Bigsby,RB,RB57,PHI,0,10
175,Kenyon Sadiq,TE,TE20,NYJ,0,13
176,Rashod Bateman,WR,WR69,BAL,0,13
177,Dontayvion Wicks,WR,WR70,PHI,0,10
178,Devaughn Vele,WR,WR71,NO,0,8
179,Jaylin Noel,WR,WR72,HOU,0,8
180,Ray Davis,RB,RB58,BUF,0,7
181,Najee Harris,RB,RB59,NYG,0,8
182,Steelers D/ST,DST,DST3,PIT,1,9
183,Seahawks D/ST,DST,DST4,SEA,1,11
184,Rams D/ST,DST,DST5,LAR,1,11
185,Ravens D/ST,DST,DST6,BAL,1,13
186,Eagles D/ST,DST,DST7,PHI,1,10
187,Browns D/ST,DST,DST8,CLE,1,11
188,Patriots D/ST,DST,DST9,NE,1,11
189,Lions D/ST,DST,DST10,DET,1,6
190,Chiefs D/ST,DST,DST11,KC,0,5
191,Chargers D/ST,DST,DST12,LAC,0,7
192,Harrison Butker,K,K7,KC,1,5
193,Cam Little,K,K8,JAC,1,7
194,Jake Bates,K,K9,DET,1,6
195,Tyler Loop,K,K10,BAL,1,13
196,Cairo Santos,K,K11,CHI,0,10
197,Will Reichard,K,K12,MIN,0,6
198,Brenton Strange,TE,TE21,JAC,0,7
199,Justice Hill,RB,RB60,BAL,0,13
200,Kaelon Black,RB,RB61,SF,0,8
201,Ja'Kobi Lane,WR,WR73,BAL,0,13
202,C.J. Stroud,QB,QB23,HOU,0,8
203,Sam Darnold,QB,QB24,SEA,0,11
204,Jauan Jennings,WR,WR74,MIN,0,6
205,Malachi Fields,WR,WR75,NYG,0,8
206,Germie Bernard,WR,WR76,PIT,0,9
207,Tre Harris,WR,WR77,LAC,0,7
208,Ryan Flournoy,WR,WR78,DAL,0,14
209,Pat Freiermuth,TE,TE22,PIT,0,9
210,Dalton Schultz,TE,TE23,HOU,0,8
211,Zachariah Branch,WR,WR79,ATL,0,11
212,Omar Cooper Jr.,WR,WR80,NYJ,0,13
213,Kayshon Boutte,WR,WR81,HOU,0,8
214,Malik Washington,WR,WR82,MIA,0,6
215,Kimani Vidal,RB,RB62,LAC,0,7
216,Jaylen Wright,RB,RB63,MIA,0,6
217,Ollie Gordon II,RB,RB64,MIA,0,6
218,Gunnar Helm,TE,TE24,TEN,0,9
219,Chig Okonkwo,TE,TE25,WAS,0,7
220,AJ Barner,TE,TE26,SEA,0,11
221,Bryce Young,QB,QB25,CAR,0,5
222,Cam Ward,QB,QB26,TEN,0,9
223,Jacoby Brissett,QB,QB27,ARI,0,14
224,Ty Johnson,RB,RB65,BUF,0,7
225,Chris Brooks,RB,RB66,GB,0,11
226,Cooper Kupp,WR,WR83,SEA,0,11
227,Brashard Smith,RB,RB67,KC,0,5
228,Malik Davis,RB,RB68,DAL,0,14
229,Xavier Legette,WR,WR84,CAR,0,5
230,Jahan Dotson,WR,WR85,ATL,0,11
231,Xavier Hutchinson,WR,WR86,HOU,0,8
232,Jalen Tolbert,WR,WR87,MIA,0,6
233,Chris Bell,WR,WR88,MIA,0,6
234,DeMario Douglas,WR,WR89,NE,0,11
235,Darius Slayton,WR,WR90,NYG,0,8
236,Antonio Williams,WR,WR91,WAS,0,7
237,Buccaneers D/ST,DST,DST13,TB,0,10
238,Packers D/ST,DST,DST14,GB,0,11
239,Chris Boswell,K,K13,PIT,0,9
240,Chase McLaughlin,K,K14,TB,0,10
241,Emmett Johnson,RB,RB69,KC,0,5
242,Isaiah Davis,RB,RB70,NYJ,0,13
243,Jacob Saylors,RB,RB71,DET,0,6
244,LeQuint Allen,RB,RB72,JAC,0,7
245,George Holani,RB,RB73,SEA,0,11
246,Tyrone Tracy Jr.,RB,RB74,NYG,0,8
247,Sean Tucker,RB,RB75,TB,0,10
248,Seth McGowan,RB,RB76,IND,0,13
249,Jordan James,RB,RB77,SF,0,8
250,Will Shipley,RB,RB78,PHI,0,10
251,Emanuel Wilson,RB,RB79,SEA,0,11
252,Emari Demercado,RB,RB80,DAL,0,14
253,Tyquan Thornton,WR,WR92,KC,0,5
254,Keon Coleman,WR,WR93,BUF,0,7
255,Jaguars D/ST,DST,DST15,JAC,0,7
256,Saints D/ST,DST,DST16,NO,0,8
257,Evan McPherson,K,K15,CIN,0,6
258,Nick Folk,K,K16,ATL,0,11
259,Greg Dulcich,TE,TE27,MIA,0,6
260,Darren Waller,TE,TE28,CAR,0,5
261,Cade Otton,TE,TE29,TB,0,10
262,Isaac TeSlaa,WR,WR94,DET,0,6
263,Pat Bryant,WR,WR95,DEN,0,10
264,Marvin Mims Jr.,WR,WR96,DEN,0,10
265,Andrei Iosivas,WR,WR97,CIN,0,6
266,Kaleb Johnson,RB,RB81,GB,0,11
267,Nicholas Singleton,RB,RB82,TEN,0,9
268,Geno Smith,QB,QB28,NYJ,0,13
269,Fernando Mendoza,QB,QB29,LV,0,13
270,Aaron Rodgers,QB,QB30,PIT,0,9
271,Deshaun Watson,QB,QB31,CLE,0,11
272,Kevin Coleman Jr.,WR,WR98,MIA,0,6
273,KaVontae Turpin,WR,WR99,DAL,0,14
274,Jack Bech,WR,WR100,LV,0,13
275,Tory Horton,WR,WR101,SEA,0,11
276,Kendre Miller,RB,RB83,NO,0,8
277,Tahj Brooks,RB,RB84,CIN,0,6
278,Demond Claiborne,RB,RB85,MIN,0,6
279,Rasheen Ali,RB,RB86,BAL,0,13
280,Kaytron Allen,RB,RB87,WAS,0,7
281,DJ Giddens,RB,RB88,IND,0,13
282,Sione Vaki,RB,RB89,DET,0,6
283,Kene Nwangwu,RB,RB90,NYJ,0,13
284,Ted Hurst,WR,WR102,TB,0,10
285,Jets D/ST,DST,DST17,NYJ,0,13
286,49ers D/ST,DST,DST18,SF,0,8
287,Trey Smack,K,K17,GB,0,11
288,Spencer Shrader,K,K18,IND,0,13
289,Evan Engram,TE,TE30,DEN,0,10
290,David Njoku,TE,TE31,LAC,0,7
291,Oronde Gadsden,TE,TE32,LAC,0,7
292,Mike Gesicki,TE,TE33,CIN,0,6
293,Michael Mayer,TE,TE34,LV,0,13
294,Darnell Mooney,WR,WR103,NYG,0,8
295,Mack Hollins,WR,WR104,NE,0,11
296,Tua Tagovailoa,QB,QB32,ATL,0,11
297,Cowboys D/ST,DST,DST19,DAL,0,14
298,Colts D/ST,DST,DST20,IND,0,13
299,Vikings D/ST,DST,DST21,MIN,0,6
300,Bengals D/ST,DST,DST22,CIN,0,6
